"DIRECTORIO","SECUENCIA_P","ORDEN","FEX_C"
8419586,1,1,879.801744901646
8419588,1,1,1235.75265889793
8419588,1,2,1235.75265889793
8419588,1,3,1235.75265889793
8426478,1,1,102.306700554313
8426478,1,2,102.306700554313
8426478,1,3,102.306700554313
8426478,1,4,102.306700554313
8426479,1,1,99.9782912243109
8426479,1,2,99.9782912243109
8426479,1,3,99.9782912243109
8426479,1,4,99.9782912243109
8426481,1,1,107.868034949577
8426481,1,2,107.868034949577
8426481,1,3,107.868034949577
8426481,1,4,107.868034949577
8426482,1,1,50.6201625501124
8426482,1,2,50.6201625501124
8426482,1,3,50.6201625501124
8426483,1,1,85.5511417172038
8426485,1,1,121.776900792253
8426485,1,2,121.776900792253
8426485,1,3,121.776900792253
8426486,1,1,111.051962805986
8426487,1,1,127.901686643473
8426487,1,2,127.901686643473
8426488,1,1,125.908495421081
8426488,1,2,125.908495421081
8426491,1,1,118.299434935938
8426491,1,2,118.299434935938
8426493,1,1,147.80705812554
8426494,1,1,147.80705812554
8426495,1,1,123.775825784007
8426495,1,2,123.775825784007
8426496,1,1,85.9271707770468
8426496,1,2,85.9271707770468
8426497,1,1,126.771674966488
8426497,1,2,126.771674966488
8426498,1,1,150.740768840665
8426499,1,1,90.8435941722066
8426499,1,2,90.8435941722066
8426500,1,1,90.6988649673679
8426500,1,2,90.6988649673679
8426500,1,3,90.6988649673679
8426500,1,4,90.6988649673679
8426501,1,1,67.8991603436603
8426501,1,2,67.8991603436603
8426502,1,1,66.1957463763916
8426502,1,2,66.1957463763916
8426503,1,1,95.3532287521236
8426503,1,2,95.3532287521236
8426515,1,1,127.654772525668
8426515,1,2,127.654772525668
8426515,1,3,127.654772525668
8426516,1,1,97.3758485201001
8426516,1,2,97.3758485201001
8426516,1,3,97.3758485201001
8426517,1,1,120.220771203705
8426517,1,2,120.220771203705
8426517,1,3,120.220771203705
8426518,1,1,120.220771203705
8426518,1,2,120.220771203705
8426518,1,3,120.220771203705
8426519,1,1,97.4215206338022
8426519,1,2,97.4215206338022
8426519,1,3,97.4215206338022
8426520,1,1,139.389732868607
8426520,1,2,139.389732868607
8426520,1,3,139.389732868607
8426522,1,1,96.6026970922027
8426522,1,2,96.6026970922027
8426523,1,1,138.467840649896
8426523,1,2,138.467840649896
8430361,1,1,452.622432221951
8430362,1,1,379.032747333714
8430362,1,2,379.032747333714
8430363,1,1,379.032747333714
8430363,1,2,379.032747333714
8430365,1,1,479.383307265047
8430365,1,2,479.383307265047
8430365,1,3,479.383307265047
8430366,1,1,775.533900222687
8430366,1,2,775.533900222687
8430366,1,3,775.533900222687
8430366,1,4,775.533900222687
8430368,1,1,452.40798192982
8430368,1,2,452.40798192982
8430370,1,1,379.032747333714
8430370,1,2,379.032747333714
8430371,1,1,297.281438695644
8430371,1,2,297.281438695644
8430372,1,1,201.217090736647
8430372,1,2,201.217090736647
8430372,1,3,201.217090736647
8430372,1,4,201.217090736647
8444398,1,1,736.668130122899
8444398,1,2,736.668130122899
8444398,1,3,736.668130122899
8444398,1,4,736.668130122899
8444399,1,1,476.114804160992
8444399,1,2,476.114804160992
8444400,1,1,770.067296512879
8444400,1,2,770.067296512879
8444400,1,3,770.067296512879
8444400,1,4,770.067296512879
8444400,1,5,770.067296512879
8444400,1,6,770.067296512879
8444401,1,1,426.140411910467
8444402,1,1,421.420157281314
8444402,1,2,421.420157281314
8444403,1,1,592.221346202957
8444403,1,2,592.221346202957
8444404,1,1,783.042135682198
8444404,1,2,783.042135682198
8444404,1,3,783.042135682198
8444404,1,4,783.042135682198
8444404,1,5,783.042135682198
8444405,1,1,457.748454555895
8444405,1,2,457.748454555895
8444405,1,3,457.748454555895
8444406,1,1,540.295593476514
8444406,1,2,540.295593476514
8444406,1,3,540.295593476514
8444407,1,1,509.200236249695
8444408,1,1,507.293243101016
8444408,1,2,507.293243101016
8444408,1,3,507.293243101016
8444410,1,1,422.64449121894
8444410,1,2,422.64449121894
8444411,1,1,593.607731553123
8444411,1,2,593.607731553123
8444411,1,3,593.607731553123
8444412,1,1,533.650486907456
8444412,1,2,533.650486907456
8444412,1,3,533.650486907456
8444413,1,1,549.042313007028
8444413,1,2,549.042313007028
8444413,1,3,549.042313007028
8444413,1,4,549.042313007028
8444414,1,1,696.558143109438
8444414,1,2,696.558143109438
8444414,1,3,696.558143109438
8444414,1,4,696.558143109438
8444414,1,5,696.558143109438
8444414,1,6,696.558143109438
8444414,1,7,696.558143109438
8444414,1,8,696.558143109438
8444415,1,1,549.018676720758
8444416,1,1,556.750349201018
8444416,1,2,556.750349201018
8444416,1,3,556.750349201018
8444417,1,1,421.420157281314
8444417,1,2,421.420157281314
8444418,1,1,763.042073412524
8444418,1,2,763.042073412524
8444418,1,3,763.042073412524
8444418,1,4,763.042073412524
8447209,1,1,626.292391102191
8447209,1,2,626.292391102191
8447210,1,1,760.025900102406
8447210,1,2,760.025900102406
8447210,1,3,760.025900102406
8447210,1,4,760.025900102406
8447211,1,1,807.399306511406
8447211,1,2,807.399306511406
8447211,1,3,807.399306511406
8447212,1,1,759.032490820072
8447212,1,2,759.032490820072
8447212,1,3,759.032490820072
8447212,1,4,759.032490820072
8447212,1,5,759.032490820072
8447213,1,1,760.380245702294
8447213,1,2,760.380245702294
8447213,1,3,760.380245702294
8447215,1,1,797.284960638214
8447215,1,2,797.284960638214
8447215,1,3,797.284960638214
8447215,1,4,797.284960638214
8447216,1,1,662.203696755779
8447216,1,2,662.203696755779
8447216,1,3,662.203696755779
8447216,1,4,662.203696755779
8447217,1,1,1195.12537902767
8447217,1,2,1195.12537902767
8447217,1,3,1195.12537902767
8447217,1,4,1195.12537902767
8447217,1,5,1195.12537902767
8447217,1,6,1195.12537902767
8447217,1,7,1195.12537902767
8447219,1,1,440.315554453631
8447219,1,2,440.315554453631
8454915,1,1,96.6515562766212
8454915,1,2,96.6515562766212
8454915,1,3,96.6515562766212
8454915,1,4,96.6515562766212
8458302,1,1,348.207838761168
8458302,1,2,348.207838761168
8458302,1,3,348.207838761168
8458302,1,4,348.207838761168
8458303,1,1,209.222724816342
8458303,1,2,209.222724816342
8458303,1,3,209.222724816342
8458303,1,4,209.222724816342
8458304,1,1,304.881505124513
8458304,1,2,304.881505124513
8458304,1,3,304.881505124513
8458304,1,4,304.881505124513
8458304,1,5,304.881505124513
8458304,1,6,304.881505124513
8458304,1,7,304.881505124513
8458305,1,1,217.500289548044
8458305,1,2,217.500289548044
8458305,1,3,217.500289548044
8458305,1,4,217.500289548044
8458306,1,1,189.689770854401
8458306,1,2,189.689770854401
8458307,1,1,268.045142177916
8458307,1,2,268.045142177916
8458308,1,1,192.079059634409
8458308,1,2,192.079059634409
8458309,1,1,290.308408443436
8458309,1,2,290.308408443436
8458309,1,3,290.308408443436
8458310,1,1,329.36070971737
8458310,1,2,329.36070971737
8458310,1,3,329.36070971737
8458310,1,4,329.36070971737
8458310,1,5,329.36070971737
8458310,1,6,329.36070971737
8458311,1,1,242.634409247285
8458312,1,1,324.119471706888
8458312,1,2,324.119471706888
8458312,1,3,324.119471706888
8458313,1,1,528.978683629299
8458313,1,2,528.978683629299
8458313,1,3,528.978683629299
8458313,1,4,528.978683629299
8458313,1,5,528.978683629299
8458314,1,1,208.499639760594
8458314,1,2,208.499639760594
8458315,1,1,380.550939629488
8458315,1,2,380.550939629488
8458315,1,3,380.550939629488
8458316,1,1,418.100726234572
8458316,1,2,418.100726234572
8458316,1,3,418.100726234572
8458317,1,1,335.931389118664
8458317,1,2,335.931389118664
8458318,1,1,210.835008329828
8458319,1,1,213.488497311472
8458320,1,1,211.153128742237
8458320,1,2,211.153128742237
8458321,1,1,382.507575343217
8458321,1,2,382.507575343217
8458321,1,3,382.507575343217
8458322,1,1,292.982613307784
8458322,1,2,292.982613307784
8458322,1,3,292.982613307784
8458322,1,4,292.982613307784
8458322,1,5,292.982613307784
8458323,1,1,274.966853224822
8458323,1,2,274.966853224822
8458323,1,3,274.966853224822
8458324,1,1,322.239892717289
8458324,1,2,322.239892717289
8458324,1,3,322.239892717289
8458324,1,4,322.239892717289
8461551,1,1,324.040463370714
8461551,1,2,324.040463370714
8461551,1,3,324.040463370714
8461552,1,1,231.316123424726
8461553,1,1,231.316123424726
8461554,1,1,228.753890480194
8461554,1,2,228.753890480194
8461555,1,1,298.016495120629
8461556,1,1,419.665454090844
8461556,1,2,419.665454090844
8461556,1,3,419.665454090844
8461557,1,1,284.094158541764
8461557,1,2,284.094158541764
8461557,1,3,284.094158541764
8461557,1,4,284.094158541764
8461557,1,5,284.094158541764
8461557,1,6,284.094158541764
8461558,1,1,400.062181738954
8461558,1,2,400.062181738954
8461558,1,3,400.062181738954
8461559,1,1,353.729629980309
8461559,1,2,353.729629980309
8461559,1,3,353.729629980309
8461560,1,1,237.888803753476
8461560,1,2,237.888803753476
8461560,1,3,237.888803753476
8464763,1,1,87.9831859109283
8464765,1,1,86.8896262235232
8464766,1,1,87.9831859109283
8465965,1,1,65.4542992176247
8465965,1,2,65.4542992176247
8465965,1,3,65.4542992176247
8465966,1,1,100.242971432371
8465966,1,2,100.242971432371
8465966,1,3,100.242971432371
8466982,1,1,972.33782813475
8466982,1,2,972.33782813475
8466984,1,1,693.378731164828
8466985,1,1,987.171556213561
8466985,1,2,987.171556213561
8466985,1,3,987.171556213561
8466986,1,1,685.698342086347
8466986,1,2,685.698342086347
8466987,1,1,1183.80878288187
8466987,1,2,1183.80878288187
8466987,1,3,1183.80878288187
8466988,1,1,1179.49949694395
8466989,1,1,685.698342086347
8466989,1,2,685.698342086347
8466990,1,1,702.105331352466
8466991,1,1,694.424942273985
8466991,1,2,694.424942273985
8469436,1,1,109.609840763642
8469437,1,1,85.7524365832069
8469437,1,2,85.7524365832069
8469437,1,3,85.7524365832069
8469437,1,4,85.7524365832069
8469438,1,1,84.8113195675521
8469438,1,2,84.8113195675521
8469439,1,1,85.7612765567381
8469440,1,1,83.8613625783661
8469440,1,2,83.8613625783661
8469440,1,3,83.8613625783661
8469441,1,1,94.8687268323029
8469441,1,2,94.8687268323029
8469441,1,3,94.8687268323029
8469442,1,1,104.796732377277
8469442,1,2,104.796732377277
8469442,1,3,104.796732377277
8469443,1,1,95.8186838214889
8469443,1,2,95.8186838214889
8469446,1,1,188.890982228135
8469446,1,2,188.890982228135
8469446,1,3,188.890982228135
8469446,1,4,188.890982228135
8469446,1,5,188.890982228135
8469447,1,1,95.8186838214889
8469447,1,2,95.8186838214889
8469448,1,1,123.443382615854
8469449,1,1,123.443382615854
8469450,1,1,72.6767277724354
8469450,1,2,72.6767277724354
8469451,1,1,128.672302500241
8469451,1,2,128.672302500241
8469451,1,3,128.672302500241
8469451,1,4,128.672302500241
8469452,1,1,137.756123288714
8469452,1,2,137.756123288714
8469452,1,3,137.756123288714
8469453,1,1,72.5672340095476
8469454,1,1,156.608937745565
8469454,1,2,156.608937745565
8469454,1,3,156.608937745565
8469454,1,4,156.608937745565
8469454,1,5,156.608937745565
8469455,1,1,123.443382615854
8469456,1,1,110.970132366259
8469456,1,2,110.970132366259
8469456,1,3,110.970132366259
8469457,1,1,81.0773478489521
8469457,1,2,81.0773478489521
8469459,1,1,125.446841209784
8469459,1,2,125.446841209784
8469459,1,3,125.446841209784
8469459,1,4,125.446841209784
8469460,1,1,140.708044977417
8469460,1,2,140.708044977417
8469460,1,3,140.708044977417
8469462,1,1,156.382842209135
8469462,1,2,156.382842209135
8469462,1,3,156.382842209135
8469462,1,4,156.382842209135
8469463,1,1,90.6857485976114
8469464,1,1,70.1686814883679
8469464,1,2,70.1686814883679
8469465,1,1,71.84763669846
8469466,1,1,99.5009892453364
8469466,1,2,99.5009892453364
8469467,1,1,70.9546288093355
8469468,1,1,150.369673336239
8469468,1,2,150.369673336239
8469468,1,3,150.369673336239
8469468,1,4,150.369673336239
8469469,1,1,144.356504463342
8469469,1,2,144.356504463342
8469469,1,3,144.356504463342
8469469,1,4,144.356504463342
8469470,1,1,104.661821860381
8469470,1,2,104.661821860381
8469470,1,3,104.661821860381
8469471,1,1,97.2081650497644
8469471,1,2,97.2081650497644
8469471,1,3,97.2081650497644
8469472,1,1,65.3160333622363
8469473,1,1,109.727451214092
8469474,1,1,82.4415896341922
8469475,1,1,64.5042080084868
8469476,1,1,109.52971339995
8469476,1,2,109.52971339995
8469476,1,3,109.52971339995
8469477,1,1,109.413841453044
8469477,1,2,109.413841453044
8469477,1,3,109.413841453044
8469477,1,4,109.413841453044
8469478,1,1,88.877133521115
8469478,1,2,88.877133521115
8469478,1,3,88.877133521115
8469478,1,4,88.877133521115
8469479,1,1,116.428183166262
8469479,1,2,116.428183166262
8469479,1,3,116.428183166262
8476335,1,1,843.664957764882
8476335,1,2,843.664957764882
8476335,1,3,843.664957764882
8476335,1,4,843.664957764882
8477067,1,1,243.986854070253
8477069,1,1,243.986854070253
8477071,1,1,340.211141995047
8477071,1,2,340.211141995047
8477072,1,1,407.215904651742
8477072,1,2,407.215904651742
8477074,1,1,606.863541082956
8477074,1,2,606.863541082956
8477074,1,3,606.863541082956
8477074,1,4,606.863541082956
8477074,1,5,606.863541082956
8477075,1,1,437.151514677963
8477075,1,2,437.151514677963
8477075,1,3,437.151514677963
8477076,1,1,416.73143931141
8477076,1,2,416.73143931141
8477076,1,3,416.73143931141
8480088,1,1,1211.13185728809
8481753,1,1,393.693028294433
8481753,1,2,393.693028294433
8481753,1,3,393.693028294433
8481753,1,4,393.693028294433
8481754,1,1,434.915359576558
8481754,1,2,434.915359576558
8481754,1,3,434.915359576558
8481755,1,1,368.468364562822
8481755,1,2,368.468364562822
8481755,1,3,368.468364562822
8481764,1,1,485.075618367634
8481764,1,2,485.075618367634
8481764,1,3,485.075618367634
8481764,1,4,485.075618367634
8482469,1,1,119.314668441644
8482469,1,2,119.314668441644
8482469,1,3,119.314668441644
8483436,1,1,1417.95301822633
8483436,1,2,1417.95301822633
8483436,1,3,1417.95301822633
8483437,1,1,1405.53568491548
