DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8369938,1,5,1,1,281.6594144
8369941,1,2,1,1,159.63541823
8369942,1,1,1,1,173.96184812
8369942,1,3,1,1,173.96184812
8369945,1,1,1,1,218.54327218
8369945,1,3,1,1,218.54327218
8369946,1,1,1,1,79.403362457
8369946,1,2,1,1,79.403362457
8369946,1,3,1,1,79.403362457
8369946,1,4,1,1,79.403362457
8369950,1,1,1,1,118.45384525
8369950,1,2,1,1,118.45384525
8369950,1,3,1,1,118.45384525
8369951,1,1,1,1,223.099119
8369967,1,1,0,1,287.02566392
8370002,1,2,1,1,93.456795525
8370005,1,1,1,1,43.233870506
8370005,1,2,1,1,43.233870506
8370030,1,1,1,1,39.657526241
8370040,1,1,1,1,461.36253915
8370040,1,3,1,1,461.36253915
8370042,1,1,1,1,461.36253915
8370043,1,1,0,1,203.92612606
8370058,1,2,1,1,141.50158854
8370059,1,1,1,1,261.43011853
8370059,1,2,1,1,261.43011853
8370059,1,3,1,1,261.43011853
8370059,1,4,1,1,261.43011853
8370060,1,1,1,1,281.99896998
8370060,1,2,1,1,281.99896998
8370060,1,3,1,1,281.99896998
8370060,1,4,1,1,281.99896998
8370066,1,1,1,1,25.26727846
8370073,1,4,1,1,128.23398778
8370076,1,1,1,1,128.23398778
8370076,1,2,1,1,128.23398778
8370076,1,4,1,1,128.23398778
8370077,1,1,1,1,89.434986353
8370086,1,2,1,1,125.57099652
8370093,1,2,0,1,2479.6953648
8370099,1,1,1,1,3591.844086
8370099,1,2,1,1,3591.844086
8370103,1,1,1,1,2251.9513326
8370103,1,2,1,1,2251.9513326
8370106,1,1,1,1,4537.0273882
8370106,1,2,1,1,4537.0273882
8370106,1,3,1,1,4537.0273882
8370107,1,1,1,1,3810.632927
8370107,1,2,1,1,3810.632927
8370109,1,1,1,1,134.6895008
8370109,1,3,1,1,134.6895008
8370109,1,4,1,1,134.6895008
8370113,1,1,1,1,111.06451847
8370118,1,1,1,1,57.293813283
8370118,1,3,1,1,57.293813283
8370118,1,5,1,1,57.293813283
8370118,1,6,1,1,57.293813283
8370118,1,8,1,1,57.293813283
8370133,1,1,0,1,415.77279516
8370162,1,3,1,1,107.91100517
8370164,1,1,1,1,290.73569202
8370164,1,2,1,1,290.73569202
8370164,1,3,1,1,290.73569202
8370164,1,4,1,1,290.73569202
8370174,1,2,1,1,148.36275964
8370177,1,5,1,1,148.36275964
8370183,1,2,1,1,302.14561097
8370183,1,3,1,1,302.14561097
8370184,1,2,1,1,191.42322469
8370185,1,1,1,1,291.43018922
8370185,1,2,1,1,291.43018922
8370186,1,1,1,1,139.96486758
8370186,1,2,1,1,139.96486758
8370187,1,1,1,1,252.63172704
8370187,1,3,1,1,252.63172704
8370188,1,3,1,1,147.89034208
8370198,1,2,0,1,353.47334299
8370204,1,1,1,1,237.97094343
8370204,1,2,1,1,237.97094343
8370204,1,3,1,1,237.97094343
8370208,1,1,1,1,394.13993158
8370208,1,2,1,1,394.13993158
8370223,2,1,1,1,172.61875818
8370223,2,2,1,1,172.61875818
8370230,1,1,1,1,386.27769363
8370230,1,2,1,1,386.27769363
8370230,1,3,1,1,386.27769363
8370230,1,4,1,1,386.27769363
8370231,1,1,1,1,336.94861485
8370231,1,2,1,1,336.94861485
8370231,1,3,1,1,336.94861485
8370231,1,4,1,1,336.94861485
8370246,1,2,1,1,397.88640996
8370246,1,3,1,1,397.88640996
8370246,1,4,1,1,397.88640996
8370246,1,7,1,1,397.88640996
8370248,1,1,1,1,344.07556311
8370251,1,1,1,1,261.38567625
8370252,1,2,1,1,637.53115329
8370254,1,1,1,1,261.38567625
8370268,1,1,1,1,196.69785698
8370272,1,1,1,1,205.72662034
8370276,1,1,1,1,133.88062671
8370276,1,2,1,1,133.88062671
8370278,1,1,1,1,283.46213276
8370278,1,2,1,1,283.46213276
8370279,1,1,1,1,453.8320237
8370280,1,1,1,1,483.48537587
8370280,1,2,1,1,483.48537587
8370283,1,2,1,1,232.85748419
8370284,1,1,1,1,483.48537587
8370289,1,3,1,1,109.04587417
8370290,1,1,1,1,97.119233891
8370291,1,2,1,1,121.5742661
8370293,1,1,1,1,125.44109049
8370293,1,2,1,1,125.44109049
8370294,1,1,1,1,108.58119013
8370295,1,1,1,1,113.72053646
8370295,1,2,1,1,113.72053646
8370295,1,3,1,1,113.72053646
8370297,1,1,1,1,159.76463112
8370297,1,2,1,1,159.76463112
8370297,1,3,1,1,159.76463112
8370297,1,4,1,1,159.76463112
8370298,1,1,1,1,155.36413605
8370298,1,2,1,1,155.36413605
8370299,1,1,1,1,133.51569303
8370300,1,1,1,1,75.331417986
8370300,1,2,1,1,75.331417986
8370300,1,3,1,1,75.331417986
8370301,1,1,1,1,100.22372436
8370301,1,3,1,1,100.22372436
8370301,1,4,1,1,100.22372436
8370304,1,1,1,1,100.39181658
8370305,1,1,1,1,81.904066155
8370305,1,3,1,1,81.904066155
8370305,1,4,1,1,81.904066155
8370361,1,1,1,1,18.088716766
8370376,1,7,1,1,436.9518591
8370376,1,8,1,1,436.9518591
8370383,1,2,1,1,290.8094129
8370387,1,1,1,1,134.11887845
8370387,1,2,1,1,134.11887845
8370389,1,2,1,1,170.80371901
8370390,1,2,1,1,160.70974943
8370390,1,3,1,1,160.70974943
8370391,1,1,1,1,271.84438828
8370393,1,1,1,1,150.2153805
8370394,1,1,1,1,166.65848136
8370396,1,1,0,1,237.57360624
8370397,1,1,1,1,154.9893774
8370397,1,2,1,1,154.9893774
8370397,1,3,1,1,154.9893774
8370398,1,1,1,1,356.2986536
8370400,1,1,1,1,237.38456139
8370402,1,3,1,1,228.17067356
8370403,1,1,1,1,274.86488148
8370403,1,2,1,1,274.86488148
8370404,1,1,1,1,156.69200569
8370404,1,2,1,1,156.69200569
8370404,1,3,1,1,156.69200569
8370406,1,1,1,1,212.3204833
8370406,1,2,1,1,212.3204833
8370407,1,1,1,1,340.17430313
8370407,1,2,1,1,340.17430313
8370407,1,3,1,1,340.17430313
8370409,1,1,1,1,203.55484104
8370409,1,2,1,1,203.55484104
8370410,1,1,1,1,280.6194352
8370411,1,1,1,1,601.77436076
8370411,1,2,1,1,601.77436076
8370411,1,3,1,1,601.77436076
8370411,1,4,1,1,601.77436076
8370468,1,1,1,1,9.4011126661
8370471,1,2,1,1,11.281335199
8370495,1,1,1,1,11.281335199
8370495,1,3,1,1,11.281335199
8370496,1,1,1,1,5.9540380219
8370497,1,1,1,1,5.9540380219
8370520,1,1,1,1,445.20534248
8370528,1,1,1,1,743.03324355
8370529,1,1,1,1,867.66970157
8370529,1,2,1,1,867.66970157
8370530,1,1,1,1,743.03324355
8370530,1,2,1,1,743.03324355
8370536,1,1,1,1,227.86334332
8370536,1,2,1,1,227.86334332
8370539,1,2,1,1,86.424239898
8370550,1,2,1,1,86.424239898
8370568,1,2,1,1,2328.9375082
8370568,1,3,1,1,2328.9375082
8370609,1,1,1,1,128.48497286
8370610,1,2,1,1,172.03039197
8370613,1,3,1,1,154.2835462
8370615,1,1,1,1,99.418380675
8370618,1,1,1,1,152.48982005
8370618,1,2,1,1,152.48982005
8370619,1,1,1,1,99.738050588
8370621,1,1,1,1,112.7687695
8370621,1,2,1,1,112.7687695
8370622,1,1,1,1,88.081421529
8370622,1,2,1,1,88.081421529
8370623,1,1,1,1,93.145545771
8370624,1,1,1,1,120.06559058
8370624,1,3,1,1,120.06559058
8370627,1,1,1,1,134.62473169
8370627,1,2,1,1,134.62473169
8370627,1,3,1,1,134.62473169
8370628,1,1,1,1,133.28399941
8370628,1,2,1,1,133.28399941
8370630,1,2,1,1,150.64251816
8370630,1,3,1,1,150.64251816
8370633,1,1,0,1,161.90937304
8370634,1,1,1,1,84.741060409
8370634,1,2,1,1,84.741060409
8370634,1,3,1,1,84.741060409
8370635,1,4,1,1,102.99270143
8370644,1,1,1,1,39.331282066
8370644,1,2,1,1,39.331282066
8370644,1,3,1,1,39.331282066
8370645,1,1,1,1,72.834650668
8370647,1,1,1,1,10.374194746
8370654,1,1,1,1,4.1228997389
8370654,1,2,1,1,4.1228997389
8370664,1,3,1,1,12.649331751
8370666,1,1,1,1,11.422796386
8370674,1,2,1,1,5.8346316696
8370676,1,1,1,1,13.612841099
8370676,1,2,1,1,13.612841099
8370676,1,3,1,1,13.612841099
8370676,1,4,1,1,13.612841099
8370676,1,5,1,1,13.612841099
8370680,1,1,1,1,7.4953483658
8370698,1,1,1,1,235.59684701
8370698,1,2,1,1,235.59684701
8370706,1,1,1,1,161.03937024
