"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8409959,1,1,2,1,1,3,5,1,1025.03373892599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1025.03373892599,20250731,1,2,1,2
8409960,1,2,1,1,1,3,5,2,839.958565473582,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,1679.91713094716,NA,NA,NA,NA,NA
8409961,1,2,2,1,1,3,5,2,926.297364669937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852.59472933987,NA,NA,NA,NA,NA
8409962,1,1,2,1,1,3,5,1,840.168213315454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,840.168213315454,20250731,1,2,2,2
8409963,1,1,1,1,1,3,5,1,1285.34059906034,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1285.34059906034,20250731,2,2,2,2
8409964,1,3,2,1,1,3,5,3,1522.87726010644,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,4568.63178031932,NA,NA,NA,NA,NA
8409965,1,2,1,1,1,3,5,2,783.272425690712,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1566.54485138142,NA,NA,NA,NA,NA
8409966,1,2,1,1,1,3,5,2,671.966852378866,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,1343.93370475773,NA,NA,NA,NA,NA
8409967,1,2,1,1,1,3,5,2,671.966852378866,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,1,1343.93370475773,NA,NA,NA,NA,NA
8409968,1,1,1,1,1,3,5,1,759.086332733053,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,759.086332733053,20250731,2,2,2,2
8409969,1,1,1,1,1,3,5,1,664.004189703019,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,664.004189703019,20250731,2,2,2,2
8409970,1,1,1,1,1,3,5,1,664.004189703019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,664.004189703019,20250731,1,2,2,2
8409971,1,1,1,1,1,3,5,1,672.134570652364,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,672.134570652364,20250731,2,2,2,2
8409972,1,1,1,1,1,3,5,1,664.004189703019,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.34,1,664.004189703019,20250731,1,2,2,2
8409973,1,2,1,1,1,3,5,2,1073.08703917298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,2146.17407834596,NA,NA,NA,NA,NA
8409974,1,1,1,1,1,3,5,1,664.004189703019,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4,1,664.004189703019,20250731,2,2,2,2
8409975,1,1,1,1,1,3,5,1,759.086332733053,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,759.086332733053,20250731,2,2,2,2
8409976,1,3,3,5,1,3,5,3,1779.59186544362,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.34,1,5338.77559633086,NA,NA,NA,NA,NA
8409977,1,2,1,1,1,3,5,2,1259.93784821037,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,2519.87569642074,NA,NA,NA,NA,NA
8409978,1,3,2,1,1,3,5,3,1694.56265576932,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,5083.68796730796,NA,NA,NA,NA,NA
8409979,1,1,1,5,1,3,5,1,1423.28687387447,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.34,1,1423.28687387447,20250731,2,2,2,2
8409980,1,3,3,1,1,3,5,3,1779.59186544362,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,5338.77559633086,NA,NA,NA,NA,NA
8409981,1,1,1,5,1,3,5,1,1245.00785569316,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.44,1,1245.00785569316,20250731,2,2,2,2
