DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
8369939,4,1,1,1,4,1,1
8369941,2,1,1,1,4,1,1
8369942,3,1,1,1,6,1,1
8369944,2,1,1,1,6,1,1
8369945,4,1,1,1,6,1,1
8369946,4,1,1,1,6,1,1
8369947,1,1,1,1,4,1,1
8369948,1,1,1,1,4,1,1
8369949,2,1,1,1,4,1,1
8369950,3,1,1,1,6,1,1
8369951,1,1,1,1,4,1,1
8369953,5,1,1,1,4,1,1
8369954,1,1,1,1,4,1,1
8369955,1,1,1,1,4,1,1
8369956,1,1,1,1,4,1,1
8369957,7,1,1,1,4,1,1
8369958,2,1,1,1,4,1,1
8369961,3,1,1,1,4,1,1
8369962,5,1,1,1,4,1,1
8369963,3,1,1,1,4,1,1
8369964,4,1,1,1,4,1,1
8369965,1,1,1,1,4,1,1
8369967,3,1,1,1,4,1,1
8369968,2,1,1,1,6,1,1
8369969,1,1,1,1,4,1,1
8369970,2,1,1,1,4,1,1
8369971,3,1,1,1,4,1,1
8369972,2,1,1,1,4,1,1
8369973,1,1,1,1,4,1,1
8369974,4,1,1,1,4,1,1
8369975,4,1,1,1,4,1,1
8369976,2,1,1,1,4,1,1
8369977,1,1,1,1,4,1,1
8369978,2,1,1,1,4,1,1
8369979,3,1,1,1,1,1,1
8369980,1,1,1,1,4,1,1
8369981,1,1,1,1,4,1,1
8369982,2,1,1,1,4,1,1
8369984,2,1,1,1,4,1,1
8369986,1,1,1,1,4,1,1
8369987,4,1,1,1,4,1,1
8369989,2,1,1,1,4,2,1
8369990,1,1,1,6,6,1,1
8369991,1,1,1,1,4,1,1
8369992,2,1,1,1,4,2,1
8369993,5,1,1,1,4,1,1
8369995,6,1,1,1,4,1,1
8369996,4,1,1,1,4,1,1
8369997,1,1,3,1,2,2,2
8369998,1,1,3,1,6,2,2
8369999,1,1,3,1,4,2,1
8370000,3,1,3,1,4,2,1
8370001,4,1,3,1,6,2,2
8370002,4,1,3,1,4,2,1
8370003,2,1,3,1,4,1,1
8370004,5,1,3,3,4,2,1
8370005,2,1,3,1,4,1,1
8370007,3,1,3,1,4,2,2
8370008,1,1,3,3,6,2,2
8370009,4,1,3,1,6,2,1
8370010,4,1,3,1,4,2,1
8370011,4,1,3,1,4,1,1
8370012,2,1,3,1,5,2,2
8370013,5,1,3,3,6,2,1
8370015,4,1,3,1,4,2,1
8370017,3,1,2,1,4,1,1
8370018,3,1,2,1,4,1,1
8370020,1,1,2,1,4,1,1
8370022,1,1,2,1,4,1,1
8370023,2,1,2,1,4,1,1
8370026,4,1,2,1,4,1,1
8370030,1,1,3,5,5,2,2
8370031,2,1,3,5,7,2,2
8370034,2,1,3,5,6,2,2
8370035,3,1,3,8,6,2,2
8370036,1,1,3,3,6,2,2
8370037,2,1,3,1,4,2,2
8370038,2,1,2,1,4,1,1
8370040,3,1,1,1,4,1,1
8370041,1,1,1,1,4,1,1
8370042,3,1,1,1,4,1,1
8370043,1,1,1,1,4,1,1
8370044,2,1,1,1,4,1,1
8370046,2,1,1,1,4,1,1
8370049,1,1,1,1,6,1,1
8370050,1,1,1,1,6,1,1
8370051,1,1,1,8,6,1,1
8370052,3,1,1,1,4,1,1
8370053,4,1,1,1,6,1,1
8370054,1,1,1,1,4,1,1
8370056,1,1,1,1,4,1,1
8370057,2,1,1,1,6,1,1
8370058,2,1,1,1,6,1,1
8370059,4,1,1,5,7,1,1
8370060,4,1,1,1,6,1,1
8370061,2,1,1,1,4,1,1
8370062,1,1,3,7,6,2,1
8370063,2,1,3,3,6,2,1
8370064,2,1,3,3,5,2,1
8370065,2,1,3,3,6,2,1
8370066,2,1,3,1,4,2,1
8370067,3,1,3,1,4,2,1
8370068,2,1,2,5,7,1,1
8370069,4,1,2,1,6,1,1
8370070,3,1,2,8,6,1,1
8370071,1,1,3,1,6,2,1
8370072,4,1,2,1,6,1,1
8370073,9,1,2,1,4,1,1
8370075,4,1,2,1,4,1,1
8370076,7,1,2,1,4,1,1
8370077,3,1,2,1,4,1,1
8370078,5,1,2,1,4,1,1
8370079,1,1,2,1,6,1,1
8370080,2,1,2,1,4,1,1
8370081,2,1,2,1,4,1,1
8370082,4,1,2,1,4,1,1
8370083,2,1,2,1,4,1,1
8370084,2,1,2,1,4,1,1
8370085,1,1,2,5,6,1,1
8370086,3,1,2,1,4,1,1
8370087,1,1,2,1,6,1,1
8370088,4,1,2,1,6,1,1
8370089,3,1,1,1,4,1,1
8370090,4,1,1,1,4,1,1
8370091,1,1,1,1,4,1,1
8370092,3,1,1,1,4,1,1
8370093,2,1,1,1,4,1,1
8370095,3,1,1,1,4,1,1
8370097,2,1,1,1,4,1,1
8370098,2,1,1,1,4,1,1
8370099,2,1,1,1,4,1,1
8370100,2,1,1,1,4,1,1
8370101,1,1,1,1,4,1,1
8370102,3,1,1,1,4,1,1
8370103,3,1,1,1,4,1,1
8370105,3,1,1,1,4,1,1
8370106,4,1,1,1,4,1,1
8370107,4,1,1,1,4,1,1
8370109,4,1,1,9,7,1,2
8370110,7,1,1,9,6,1,2
8370111,4,1,1,1,6,1,2
8370112,3,1,1,1,6,1,2
8370113,3,1,1,1,6,2,1
8370115,1,1,1,1,4,2,1
8370116,1,1,1,5,6,2,1
8370118,8,1,1,1,6,1,2
8370119,4,1,1,1,4,1,2
8370121,1,1,3,1,4,2,1
8370122,2,1,3,1,4,2,1
8370123,4,1,3,1,4,2,1
8370124,1,1,3,1,4,2,1
8370125,1,1,3,1,4,2,1
8370126,2,1,3,1,4,2,1
8370128,2,1,3,1,4,1,1
8370129,2,1,3,1,2,2,1
8370131,1,1,3,1,4,2,1
8370132,1,1,3,1,4,2,1
8370133,3,1,3,1,4,2,1
8370134,1,1,3,1,4,2,1
8370135,3,1,3,1,4,2,1
8370137,3,1,3,1,4,2,1
8370138,3,1,3,1,4,2,1
8370139,2,1,3,1,4,2,1
8370140,2,1,3,1,4,2,1
8370141,6,1,3,1,4,2,1
8370142,4,1,3,1,6,2,1
8370143,2,1,3,1,6,2,1
8370145,4,1,3,1,6,2,1
8370147,2,1,3,1,4,2,1
8370148,3,1,3,1,4,2,1
8370150,2,1,3,2,6,2,1
8370151,2,1,3,1,4,1,1
8370152,3,1,3,1,4,1,1
8370153,2,1,3,1,4,1,1
8370154,5,1,3,1,4,1,1
8370155,1,1,3,1,4,1,1
8370156,3,1,3,1,6,2,1
8370157,2,1,3,1,4,1,1
8370159,1,1,3,1,4,1,1
8370160,1,1,3,1,6,2,2
8370161,1,1,3,6,4,2,2
8370162,3,1,3,1,6,2,2
8370163,2,1,3,1,6,2,2
8370164,4,1,3,1,6,2,2
8370165,1,1,3,1,6,2,2
8370167,1,1,3,1,4,2,2
8370169,2,1,3,5,4,2,2
8370171,4,1,1,1,4,1,1
8370172,2,1,1,1,4,1,1
8370173,1,1,1,1,4,1,1
8370174,6,1,1,1,6,1,1
8370175,2,1,1,1,4,1,1
8370176,4,1,1,1,4,1,1
8370177,5,1,1,1,6,1,1
8370178,5,1,1,1,6,1,1
8370179,3,1,1,1,4,1,1
8370180,1,1,1,1,4,1,1
8370181,4,1,1,1,4,1,1
8370182,4,1,1,1,4,1,1
8370183,4,1,1,1,4,1,1
8370184,2,1,1,1,4,1,1
8370185,3,1,1,1,6,1,1
8370186,4,1,1,1,4,1,1
8370187,4,1,1,1,6,1,1
8370188,3,1,1,1,4,1,1
8370189,1,1,1,1,6,1,1
8370190,5,1,2,1,4,2,1
8370191,1,1,2,1,6,2,1
8370192,3,1,2,1,6,2,1
8370193,4,1,2,1,4,2,1
8370195,1,1,2,1,6,2,1
8370196,2,1,2,5,6,2,1
8370197,4,1,2,5,7,2,1
8370198,3,1,2,5,2,2,1
8370200,4,1,2,1,4,2,1
8370202,3,1,2,1,4,2,1
8370204,3,1,2,5,7,2,1
8370205,4,1,2,1,6,2,1
8370206,4,1,1,1,6,2,1
8370207,3,1,1,1,6,2,1
8370208,2,1,1,1,6,2,1
8370209,3,1,1,1,4,2,1
8370211,1,1,1,1,7,2,1
8370212,2,1,1,1,6,2,1
8370213,3,1,1,1,4,2,1
8370214,6,1,1,1,7,2,1
8370215,3,1,1,1,7,2,1
8370216,2,1,1,1,7,2,1
8370217,4,1,1,1,6,2,1
8370218,2,1,1,1,6,2,1
8370219,5,1,1,1,4,2,1
8370220,4,1,1,1,6,2,1
8370221,1,1,1,5,7,2,1
8370223,3,2,3,5,6,2,2
8370224,2,1,3,1,7,2,2
8370225,5,1,3,1,4,2,2
8370228,1,1,3,1,6,2,2
8370229,1,1,3,1,6,2,2
8370230,4,1,3,1,6,2,2
8370231,5,1,3,1,6,2,2
8370233,3,1,3,1,6,2,1
8370235,1,1,3,1,6,2,1
8370237,2,1,3,1,6,2,1
8370240,2,1,2,1,4,2,1
8370241,4,1,2,1,4,2,1
8370242,2,1,2,1,6,2,1
8370243,2,1,2,1,6,2,1
8370244,2,1,2,1,6,2,1
8370245,4,1,3,4,7,2,2
8370246,7,1,3,1,6,2,2
8370247,3,1,3,1,6,2,1
8370248,2,1,3,1,7,2,2
8370249,2,1,3,3,7,2,2
8370250,5,1,3,1,7,2,2
8370251,1,1,3,1,7,2,2
8370252,6,1,3,1,7,2,2
8370253,4,1,3,1,7,2,2
8370254,1,1,3,1,6,2,2
8370255,1,1,1,1,6,1,1
8370256,1,1,1,1,4,1,1
8370257,2,1,1,1,6,1,1
8370258,2,1,1,1,4,1,1
8370259,4,1,1,1,6,1,1
8370260,3,1,1,1,4,1,1
8370261,3,1,1,1,4,1,1
8370262,1,1,1,1,6,1,1
8370263,1,1,1,1,4,1,1
8370264,2,1,1,1,6,1,1
8370265,4,1,1,1,6,1,1
8370267,3,1,1,1,6,1,1
8370268,3,1,1,1,6,1,1
8370269,4,1,1,1,6,1,1
8370270,6,1,1,1,4,1,1
8370271,1,1,1,1,4,1,1
8370272,2,1,1,1,4,1,1
8370275,1,1,3,1,6,2,2
8370276,2,1,3,1,6,2,2
8370277,2,1,3,9,7,2,2
8370278,4,1,3,5,7,2,2
8370279,4,1,3,5,7,2,2
8370280,4,1,3,5,7,2,2
8370281,4,1,3,5,7,2,2
8370282,3,1,3,5,7,2,2
8370283,3,1,3,6,7,2,2
8370284,5,1,3,9,7,2,2
8370289,3,1,1,5,2,2,2
8370290,1,1,1,1,6,2,2
8370291,3,1,1,5,4,2,2
8370293,3,1,1,5,6,2,2
8370294,3,1,1,1,4,1,1
8370295,3,1,1,5,7,2,2
8370296,5,1,1,5,7,2,2
8370297,6,1,1,1,6,2,2
8370298,4,1,1,5,6,2,2
8370299,4,1,1,1,6,1,1
8370300,3,1,1,1,6,1,1
8370301,4,1,1,1,4,1,1
8370303,4,1,1,1,6,1,1
8370304,1,1,1,1,4,1,1
8370305,4,1,1,1,4,1,1
8370306,2,1,1,1,4,2,1
8370307,2,1,1,1,4,2,1
8370308,3,1,1,6,4,2,1
8370311,2,1,1,1,4,2,1
8370312,3,1,1,1,4,1,2
8370314,4,1,1,5,6,1,2
8370316,3,1,1,5,6,1,2
8370317,2,1,1,5,6,1,2
8370319,1,1,1,1,6,1,2
8370320,3,1,1,1,4,1,2
8370321,4,1,1,1,4,1,2
8370322,1,1,1,5,4,1,2
8370324,1,1,1,1,4,1,1
8370325,2,1,1,1,4,1,1
8370330,2,1,1,5,4,1,2
8370332,2,1,1,1,4,1,2
8370334,2,1,1,1,4,1,1
8370335,3,1,1,1,4,1,2
8370339,2,1,1,1,4,2,1
8370340,2,1,1,1,4,2,2
8370341,2,1,1,1,4,2,2
8370342,2,1,1,1,4,2,1
8370343,2,1,1,1,4,2,2
