DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P5010	P8526	P8530	FEX_C	ALFABETISMO	LOGRO_EDUCATIVO	INASISTENCIA_ESCOLAR	REZAGO_ESCOLAR	ATENCION_INTEGRAL	TRABAJO_INFANTIL	DESEMPLEO_LARGA_DURACION	EMPLEO_FORMAL	ASEGURAMIENTO_SALUD	BARRERAS_ACCESO_SALUD	PERIODO	REGION	PERSONAS	ACUEDUCTO	ALCANTARILLADO	PISOS	PAREDES	P5010_imp	HACINAMIENTO	IPM	POBRE	FEXP
2974793	1	1	3	1	1	1116.64144838867	1	1	1	1	0	1	0	1	0	0	20140939	2	5	0	0	0	0	3	0	0.45	1	5583.20724194335
2974794	1	1	4	1	1	2305.41304760116	0	0	0	1	0	0	0	1	1	0	20140939	2	8	0	0	0	0	4	0	0.25	0	18443.3043808093
2974795	1	1	2	1	1	1979.30701634245	0	1	0	0	0	0	0	1	0	0	20140939	2	6	0	0	0	0	2	1	0.24	0	11875.8420980547
2974796	1	1	1	1	1	939.861582999752	0	0	0	1	1	0	0	1	0	0	20140939	2	3	0	0	0	0	1	1	0.24	0	2819.58474899926
2974797	1	1	2	1	1	556.471635428564	0	1	1	1	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.3	0	1669.41490628569
2974798	1	1	3	1	1	838.206059907281	0	1	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	3	0	0.2	0	2514.61817972184
2974799	1	1	2	2	1	328.415004712238	1	1	0	0	0	0	0	1	0	0	20140939	9	4	0	1	0	0	2	0	0.34	1	1313.66001884895
2974800	1	1	2	1	1	2752.93497601553	0	0	0	1	0	0	0	0	0	0	20140939	2	4	0	0	0	0	2	0	0.05	0	11011.7399040621
2974801	1	1	2	1	1	579.968181693276	0	1	0	1	0	0	0	1	0	0	20140939	2	4	0	0	0	0	2	0	0.25	0	2319.8727267731
2974802	1	1	3	1	1	1036.5895847179	1	1	0	0	0	0	0	1	0	0	20140939	2	5	0	0	0	0	3	0	0.3	0	5182.9479235895
2974803	1	1	3	2	1	446.254071603029	0	0	0	1	0	0	0	0	0	0	20140939	9	4	0	1	0	0	3	0	0.09	0	1785.01628641212
2974804	1	1	2	1	1	309.810228608586	0	1	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.2	0	929.430685825759
2974805	1	1	2	1	1	715.701571194962	0	1	0	1	0	1	0	1	0	0	20140939	2	6	0	0	0	0	2	0	0.3	0	4294.20942716978
2974806	1	1	3	1	1	2729.75792931572	0	0	0	0	0	0	0	1	1	0	20140939	2	3	0	0	0	0	3	0	0.2	0	8189.27378794717
2974807	1	1	1	1	1	744.409153507552	0	0	0	0	0	0	0	1	0	0	20140939	2	4	0	0	0	0	1	1	0.14	0	2977.63661403021
2974808	1	1	2	1	1	783.305962889555	0	1	0	1	1	0	0	1	0	0	20140939	2	5	0	0	0	0	2	0	0.3	0	3916.52981444778
2974809	1	1	1	1	1	979.28750723218	0	1	0	0	1	0	0	0	0	0	20140939	2	3	0	0	0	0	1	0	0.15	0	2937.86252169654
2974810	1	1	2	1	1	2778.74877590572	0	0	0	1	1	0	0	0	0	0	20140939	2	4	0	0	0	0	2	0	0.1	0	11114.9951036229
2974811	1	1	1	1	1	2277.96412545965	0	1	0	0	0	0	1	1	0	0	20140939	2	1	0	0	0	0	1	0	0.3	0	2277.96412545965
2974812	1	1	2	1	1	359.586029845854	0	1	0	0	0	0	0	1	0	0	20140939	9	2	0	0	0	0	2	0	0.2	0	719.172059691709
2974813	1	1	2	1	1	198.809235391771	1	0	0	0	0	0	1	1	0	0	20140939	9	2	0	0	0	0	2	0	0.3	0	397.618470783542
2974814	1	1	1	1	1	2937.32437498499	0	0	0	0	0	0	0	1	0	0	20140939	2	1	0	0	0	0	1	0	0.1	0	2937.32437498499
2974815	1	1	2	1	1	645.748030202945	0	0	0	0	0	0	1	1	0	0	20140939	9	5	0	0	0	0	2	0	0.2	0	3228.74015101473
2974816	1	1	1	1	1	2515.00626590791	0	0	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	1	0	0.1	0	5030.01253181583
2974817	1	1	1	1	1	256.398378950337	1	1	0	0	0	0	1	1	0	0	20140939	9	1	0	0	0	0	1	0	0.4	1	256.398378950337
2974818	1	1	2	1	1	386.538761798544	0	0	0	1	0	0	1	1	0	0	20140939	9	4	0	0	0	0	2	0	0.25	0	1546.15504719418
2974819	1	1	2	1	1	225.227353816722	0	0	0	0	0	0	0	1	0	0	20140939	9	3	0	0	0	0	2	0	0.1	0	675.682061450165
2974820	1	1	1	1	1	252.905469294965	0	0	0	0	0	0	0	0	0	0	20140939	9	2	0	0	0	0	1	0	0	0	505.810938589929
2974821	1	1	2	1	1	2796.4451669339	1	1	0	1	0	0	0	1	1	0	20140939	2	5	0	0	0	0	2	0	0.45	1	13982.2258346695
2974822	1	1	4	1	1	371.730803329656	0	0	0	0	1	0	0	0	0	0	20140939	9	6	0	0	0	0	4	0	0.05	0	2230.38481997794
2974823	1	1	2	1	1	508.655153608433	0	0	0	1	0	0	0	0	0	0	20140939	9	5	0	0	0	0	2	0	0.05	0	2543.27576804217
2974824	1	1	2	1	1	232.21021655347	0	0	0	0	1	0	0	1	0	0	20140939	9	4	0	0	0	0	2	0	0.15	0	928.84086621388
2974826	1	1	1	1	1	866.722107979821	0	1	0	0	0	0	0	1	0	1	20140939	2	2	0	0	0	0	1	0	0.3	0	1733.44421595964
2974827	1	1	2	1	10	772.265832242158	0	0	0	0	0	0	0	0	0	0	20140939	2	1	0	0	0	0	2	0	0	0	772.265832242158
2974828	1	1	3	1	1	1145.43745788276	0	0	0	1	0	0	0	1	1	0	20140939	2	4	0	0	0	0	3	0	0.25	0	4581.74983153104
2974829	1	1	2	2	6	245.309970364316	0	1	0	0	0	0	0	1	0	0	20140939	2	2	1	0	0	0	2	0	0.24	0	490.619940728633
2974830	1	1	2	2	6	363.765708777008	0	1	0	1	0	0	0	1	0	0	20140939	2	3	1	0	0	0	2	0	0.29	0	1091.29712633103
2974831	1	1	2	2	6	443.905734402057	0	0	0	1	0	0	0	1	0	0	20140939	2	4	1	0	0	0	2	0	0.19	0	1775.62293760823
2974833	1	1	3	1	1	919.570630167302	0	0	0	0	0	0	0	1	0	0	20140939	3	5	0	0	0	0	3	0	0.1	0	4597.85315083651
2974834	1	1	2	1	1	1115.47505839737	0	1	1	1	1	1	0	1	0	0	20140939	2	5	0	0	0	0	2	0	0.4	1	5577.37529198685
2974835	1	1	2	2	6	366.105245007329	0	1	0	0	0	0	0	1	0	0	20140939	2	2	1	0	0	0	2	0	0.24	0	732.210490014659
2974836	1	1	1	2	6	211.425356998271	0	1	0	0	0	0	0	1	0	0	20140939	2	2	1	0	0	0	1	0	0.24	0	422.850713996542
2974837	1	1	2	2	6	305.140906740495	0	1	0	1	0	0	0	1	0	0	20140939	2	3	1	0	0	0	2	0	0.29	0	915.422720221486
2974839	1	1	3	1	1	809.27345631448	0	1	0	0	1	0	0	1	1	0	20140939	2	5	0	0	0	0	3	0	0.35	1	4046.3672815724
2974840	1	1	2	1	1	783.222696552564	0	0	0	0	1	0	0	1	0	0	20140939	3	5	0	0	0	0	2	0	0.15	0	3916.11348276282
2974843	1	1	1	2	6	334.080342180429	0	1	0	0	0	0	0	1	0	0	20140939	2	1	1	0	0	0	1	0	0.24	0	334.080342180429
2974844	1	1	1	1	1	750.162531657829	0	0	0	0	0	0	0	0	0	0	20140939	3	2	0	0	0	0	1	0	0	0	1500.32506331566
2974845	1	1	2	2	6	339.51900881553	1	1	0	0	1	0	0	1	0	0	20140939	2	6	1	0	0	0	2	0	0.39	1	2037.11405289318
2974846	1	1	1	2	6	483.773361894413	0	1	0	1	0	0	0	1	0	0	20140939	2	4	1	0	0	0	1	1	0.33	0	1935.09344757765
