DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P3	P4005	P4015	P8520S3	P8520S5
2975406	1	1	2	1	6	1	1
2975407	1	1	2	1	6	1	1
2975408	1	1	1	1	3	1	1
2975409	1	1	1	1	4	1	1
2975410	1	1	1	1	4	1	1
2975411	1	1	1	1	4	1	1
2975412	1	1	1	1	4	1	1
2975413	1	1	1	1	4	1	1
2975414	1	1	1	1	3	1	1
2975417	1	1	1	1	4	1	1
2975418	1	1	1	1	4	1	1
2975419	1	1	1	1	4	1	1
2975420	1	1	1	1	4	1	1
2975421	1	1	1	1	6	1	1
2975422	1	1	1	5	5	2	1
2975424	1	1	1	1	4	1	1
2975425	1	1	1	1	6	2	1
2975426	1	1	1	1	4	1	1
2975427	1	1	1	5	6	2	1
2975428	1	1	1	1	4	1	1
2975429	1	1	2	3	6	1	1
2975430	1	1	3	5	6	2	2
2975431	1	1	2	3	6	1	1
2975432	1	1	1	1	6	2	1
2975433	1	1	1	1	4	1	1
2975434	1	1	1	1	6	1	1
2975435	1	1	2	1	6	1	1
2975436	1	1	1	1	4	1	1
2975437	1	1	1	1	4	1	1
2975438	1	1	1	1	4	1	1
2975439	1	1	1	1	4	1	1
2975441	1	1	1	1	4	1	1
2975442	1	1	3	5	7	2	2
2975444	1	1	1	1	4	1	1
2975445	1	1	1	1	4	1	1
2975446	1	1	1	1	4	1	1
2975447	1	1	1	1	4	1	1
2975448	1	1	1	1	4	1	1
2975449	1	1	3	2	6	2	2
2975450	1	1	1	1	4	1	1
2975451	1	1	1	1	6	2	1
2975452	1	1	1	1	6	2	1
2975453	1	1	1	1	4	1	1
2975454	1	1	1	1	4	2	1
2975455	1	1	1	1	4	1	1
2975456	1	1	1	1	4	1	1
2975457	1	1	1	1	4	1	1
2975458	1	1	1	1	6	1	1
2975459	1	1	1	1	4	1	1
2975460	1	1	1	1	4	1	1
2975463	1	1	2	5	6	1	1
2975464	1	1	1	1	4	1	1
2975465	1	1	1	1	4	1	1
2975466	1	1	1	1	4	1	1
2975467	1	1	1	1	4	1	1
2975468	1	1	1	1	4	1	1
2975469	1	1	1	3	2	1	1
2975470	1	1	1	1	4	1	1
2975471	1	1	1	1	6	1	1
2975472	1	1	1	1	4	1	1
2975473	1	1	1	1	4	1	1
2975474	1	1	1	1	4	1	1
2975475	1	1	1	1	4	1	1
2975477	1	1	1	1	6	1	1
2975478	1	1	1	1	4	1	1
2975479	1	1	1	1	4	1	1
2975480	1	1	1	1	4	1	1
2975481	1	1	1	1	6	1	1
2975482	1	1	1	1	4	1	1
2975483	1	1	1	1	4	1	1
2975484	1	1	1	1	4	1	1
2975485	1	1	1	1	6	1	1
2975486	1	1	1	1	6	1	1
2975487	1	1	1	1	4	1	1
2975488	1	1	1	1	4	1	1
2975489	1	1	1	1	4	1	1
2975490	1	1	1	1	4	1	1
2975491	1	1	1	1	4	1	1
2975492	1	1	1	1	6	1	1
2975494	1	1	3	1	4	2	1
2975496	1	1	3	2	6	2	1
2975498	1	1	2	1	6	1	1
2975499	1	1	3	5	7	2	1
2975500	1	1	3	1	6	2	1
2975501	1	1	1	1	4	1	1
2975502	1	1	1	1	4	1	2
2975503	1	1	1	1	4	1	1
2975504	1	1	1	1	4	1	1
2975505	1	1	1	1	4	1	1
