PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2992333	2	1	2	19	593.784705856744	1	2				1	2	3	5				4	2	2	2				2
20140939	2992333	3	1	3	2	593.784705856744	1	2		2	1															
20140939	2992334	1	1	1	84	241.288620622734	1	1	1			1	2	3	3				6	2	2	2				3
20140939	2992334	1	2	1	42	241.288620622734	1	2				1	2	5	11				1					5269		2
20140939	2992334	2	1	2	70	241.288620622734	1	2				1	2	3	3				4	2	2	2				2
20140939	2992334	2	2	2	17	241.288620622734	1	2				1	1			4	11	1	3	1				6421		2
20140939	2992334	3	1	3	49	241.288620622734	1	2				1	2	7	3				4	2	2	2				2
20140939	2992334	3	2	3	12	241.288620622734	1	2				1	1			3	7	1	3	2	2	2				2
20140939	2992335	1	1	1	35	329.809982826216	1	2				1	2	3	5				4	2	2	2				2
20140939	2992336	1	1	1	22	541.57240272227	1	2				1	1			4	10	2	4	2	2	2				2
20140939	2992336	2	1	2	2	541.57240272227	1	1	1	3	1															
20140939	2992336	3	1	3	0	541.57240272227	1	1	1	2	1															
20140939	2992337	1	1	1	38	273.324267276843	1	2				2	2	1	0				4	2	2	2				2
20140939	2992337	2	1	2	18	273.324267276843	1	2				1	1			7	2	2	3	2	2	2				2
20140939	2992338	1	1	1	46	431.976832697404	1	2				1	2	3	5				1					111		2
20140939	2992339	1	1	1	58	378.09999223339	1	2				1	2	3	3				1					6310		2
20140939	2992339	2	1	2	52	378.09999223339	1	2				1	2	3	5				4	2	2	2				2
20140939	2992339	3	1	3	8	378.09999223339	1	2				1	1			2	4	2								
20140939	2992340	1	1	1	53	770.967795130506	1	2				1	2	13	5				1					8012		1
20140939	2992340	2	1	2	28	770.967795130506	1	2				1	2	13	5				1					8050		1
20140939	2992340	3	1	3	18	770.967795130506	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992341	1	1	1	37	309.96289200755	1	1	1			1	2	3	5				1					0		2
20140939	2992341	2	1	2	37	309.96289200755	1	1	1			1	2	4	7				4	1				7493		2
20140939	2992341	3	1	3	16	309.96289200755	1	2				1	1			4	10	2	3	2	2	2				2
20140939	2992341	4	1	4	12	309.96289200755	1	2				1	1			3	6	2	3	2	2	2				2
20140939	2992342	1	1	1	52	940.529972937824	1	2				1	2	4	7				4	1				6022		2
20140939	2992342	2	1	2	47	940.529972937824	1	2				1	2	7	2				1					7530		1
20140939	2992343	1	1	1	43	873.511694449718	2	2				1	2	3	5				1					4521		2
20140939	2992344	1	1	1	48	2327.04202307276	1	2				1	2	5	12				1					1810		1
20140939	2992344	2	1	2	47	2327.04202307276	1	2				1	2	4	9				1					8043		2
20140939	2992344	3	1	3	25	2327.04202307276	1	2				1	2	5	12				1					5521		1
20140939	2992344	4	1	4	20	2327.04202307276	1	2				1	2	5	12				4	2	2	2				2
20140939	2992345	1	1	1	57	1481.01352935778	1	2				1	2	3	5				1					5141		1
20140939	2992345	2	1	2	48	1481.01352935778	1	2				1	2	4	8				1					8043		2
20140939	2992345	3	1	3	13	1481.01352935778	1	2				1	1			3	6	2	3	2	2	2				2
20140939	2992346	1	1	1	38	688.100062379632	1	2				1	2	3	2				1					115		1
20140939	2992346	2	1	2	18	688.100062379632	1	2				1	2	3	5				1					115		1
20140939	2992347	1	1	1	50	1734.9850728691	1	2				1	2	3	5				1					5529		2
20140939	2992347	2	1	2	18	1734.9850728691	1	2				1	2	5	11				4	2	2	2				2
20140939	2992347	3	1	3	10	1734.9850728691	1	2				1	1			2	5	1								
20140939	2992348	1	1	1	46	362.80169022845	1	2				1	2	3	5				1					7512		2
20140939	2992348	2	1	2	18	362.80169022845	1	2				1	1			7	2	2	3	2	2	2				2
20140939	2992348	3	1	3	17	362.80169022845	1	2				1	1			4	10	1	3	2	2	2				2
20140939	2992348	4	1	4	14	362.80169022845	1	2				1	1			3	8	1	3	2	2	2				2
20140939	2992348	5	1	5	9	362.80169022845	1	2				1	1			2	4	1								
20140939	2992349	1	1	1	24	946.46655449883	1	2				1	2	5	11				1					7524		1
20140939	2992350	1	1	1	29	1432.47990551462	2	2				1	2	5	11				1					4521		2
20140939	2992350	2	1	2	27	1432.47990551462	2	1	8			1	2	4	6				4	2	2	2				2
20140939	2992351	1	1	1	41	610.293884136593	1	2				1	2	3	3				1					115		1
20140939	2992351	2	1	2	30	610.293884136593	1	2				1	2	4	7				4	2	2	2				2
20140939	2992351	3	1	3	14	610.293884136593	1	2				1	1			3	7	2	3	2	2	2				2
20140939	2992351	4	1	4	12	610.293884136593	1	2				1	1			3	6	2	3	2	2	2				2
20140939	2992351	5	1	5	2	610.293884136593	1	2		2	2															
20140939	2992351	6	1	6	16	610.293884136593	1	2				1	1			4	10	2	3	2	2	2				2
20140939	2992352	1	1	1	48	363.191217514028	1	2				2	2	1	0				1					111		2
20140939	2992352	2	1	2	39	363.191217514028	1	2				1	2	3	1				4	2	2	2				2
20140939	2992352	3	1	3	18	363.191217514028	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992352	4	1	4	16	363.191217514028	1	2				1	1			3	7	2	3	2	2	2				2
20140939	2992353	1	1	1	55	194.011253855577	1	2				1	2	3	3				4	2	2	2				2
20140939	2992353	2	1	2	57	194.011253855577	1	2				1	2	3	3				1					116		2
20140939	2992353	3	1	3	19	194.011253855577	1	2				1	2	4	9				4	1				116		2
20140939	2992353	4	1	4	9	194.011253855577	1	2				1	1			2	3	2								
20140939	2992353	5	1	5	77	194.011253855577	1	2				1	2	3	3				4	2	2	2				2
20140939	2992353	6	1	6	77	194.011253855577	1	2				1	2	3	3				1					118		2
20140939	2992354	1	1	1	55	264.669423400326	1	2				2	2	1	0				1					114		2
20140939	2992354	2	1	2	47	264.669423400326	1	2				2	2	1	0				4	2	2	2				2
20140939	2992354	3	1	3	16	264.669423400326	1	2				1	2	3	5				1					114		2
20140939	2992354	4	1	4	30	264.669423400326	1	2				1	2	3	5				4	2	2	2				2
20140939	2992354	5	1	5	6	264.669423400326	1	2				2	1			1	1	1								
